,fecha_completa,Fecha,Hora,Temp_Alicia AgriculturaCba,Humedad_Alicia AgriculturaCba,PP_Alicia AgriculturaCba,Temp_Las Varas AgriculturaCba,Humedad_Las Varas AgriculturaCba,PP_Las Varas AgriculturaCba,Temp_San Miguel - Establecimiento Don Luis,Humedad_San Miguel - Establecimiento Don Luis,PP_San Miguel - Establecimiento Don Luis,Temp_San Miguel - Listello,Humedad_San Miguel - Listello,PP_San Miguel - Listello,Temp_ San Miguel - Las Varillas,Humedad_ San Miguel - Las Varillas,PP_ San Miguel - Las Varillas
9923,10/3/2021 21:50,10/3/2021,21:50,21.0,66.4,0.0,21.0,66.1,0.0,19.5,80.0,0.0,20.0,74.4,0.0,20.8,65.3,0.0
3634,26/1/2021 5:40,26/1/2021,5:40,21.0,86.1,0.0,21.7,92.3,0.0,20.6,93.2,0.0,21.3,97.7,0.0,21.4,95.5,0.0
2098,15/1/2021 13:40,15/1/2021,13:40,19.3,100.0,0.2,19.2,95.8,0.0,18.0,97.8,0.2,19.3,99.7,0.0,18.2,98.2,0.2
8088,26/2/2021 4:00,26/2/2021,4:00,15.8,88.0,0.0,16.5,87.1,0.0,14.5,93.6,0.0,16.0,93.8,0.0,17.0,87.7,0.0
1396,10/1/2021 16:40,10/1/2021,16:40,36.5,32.4,0.0,35.3,37.5,0.0,34.7,33.3,0.0,36.1,35.1,0.0,35.0,33.9,0.0
3160,22/1/2021 22:40,22/1/2021,22:40,25.9,72.4,0.0,24.2,76.5,0.0,23.6,80.1,0.0,22.7,80.3,0.0,23.9,80.0,0.0
588,5/1/2021 2:00,5/1/2021,2:00,20.5,82.3,0.0,19.9,79.0,0.0,19.8,76.6,0.0,19.9,82.8,0.0,19.0,80.6,0.0
11924,24/3/2021 19:20,24/3/2021,19:20,23.4,81.2,0.0,24.4,79.6,0.0,23.1,89.5,0.0,23.1,81.3,0.0,23.5,78.5,0.0
7345,21/2/2021 0:10,21/2/2021,0:10,20.7,89.1,0.0,20.6,86.4,0.0,18.3,91.2,0.0,18.8,93.4,0.0,19.5,94.3,0.0
8598,1/3/2021 17:00,1/3/2021,17:00,31.9,43.4,0.0,32.1,46.2,0.0,31.7,51.2,0.0,33.0,45.7,0.0,31.8,45.6,0.0
7842,24/2/2021 11:00,24/2/2021,11:00,26.5,55.8,0.0,27.0,57.7,0.0,26.1,62.8,0.0,25.7,54.4,0.0,26.1,54.2,0.0
11100,19/3/2021 2:00,19/3/2021,2:00,13.5,81.9,0.0,12.8,81.8,0.0,9.6,96.4,0.0,11.2,91.2,0.0,11.0,94.2,0.0
6983,18/2/2021 11:50,18/2/2021,11:50,29.4,51.2,0.0,29.4,48.6,0.0,27.8,55.7,0.0,28.2,48.2,0.0,29.3,49.3,0.0
11895,24/3/2021 14:30,24/3/2021,14:30,25.0,72.4,0.0,26.3,72.4,0.0,24.4,85.2,0.0,26.3,66.7,0.0,25.7,68.5,0.0
5680,9/2/2021 10:40,9/2/2021,10:40,20.0,83.5,0.0,19.7,85.2,0.0,18.4,90.1,0.0,18.8,86.0,0.0,20.4,86.4,0.0
8186,26/2/2021 20:20,26/2/2021,20:20,23.7,63.1,0.0,24.2,60.8,0.0,22.6,63.8,0.0,24.2,64.1,0.0,25.2,62.9,0.0
4577,1/2/2021 18:50,1/2/2021,18:50,23.4,71.3,0.0,22.6,73.2,0.0,22.3,72.4,0.0,21.6,71.3,0.0,23.0,74.2,0.0
4666,2/2/2021 9:40,2/2/2021,9:40,18.8,100.0,0.0,18.3,96.8,0.0,18.0,97.6,0.0,17.6,98.3,0.0,18.9,100.0,0.0
11883,24/3/2021 12:30,24/3/2021,12:30,25.7,69.2,0.0,26.2,69.7,0.0,25.8,77.9,0.0,25.9,67.1,0.0,25.8,67.1,0.0
1921,14/1/2021 8:10,14/1/2021,8:10,20.5,74.4,0.0,21.2,67.7,0.0,20.0,73.2,0.0,19.4,77.2,0.0,18.9,74.9,0.0
252,2/1/2021 18:00,2/1/2021,18:00,33.3,25.4,0.0,33.3,28.6,0.0,32.6,25.3,0.0,33.9,28.9,0.0,33.4,25.7,0.0
8372,28/2/2021 3:20,28/2/2021,3:20,20.5,84.6,0.0,21.8,82.1,0.0,18.6,93.2,0.0,20.1,94.1,0.0,19.5,93.4,0.0
12095,25/3/2021 23:50,25/3/2021,23:50,19.7,98.3,0.0,20.2,96.2,0.0,20.3,99.2,0.0,18.9,98.3,0.0,18.9,98.3,0.0
4281,30/1/2021 17:30,30/1/2021,17:30,22.0,82.9,0.0,21.6,81.1,0.0,21.8,81.7,0.0,20.0,84.8,0.0,21.2,85.3,0.0
6405,14/2/2021 11:30,14/2/2021,11:30,27.6,63.3,0.0,27.4,64.7,0.0,26.4,63.6,0.0,25.4,69.3,0.0,28.0,64.4,0.0
3509,25/1/2021 8:50,25/1/2021,8:50,23.0,84.6,0.0,22.9,85.4,0.0,22.6,83.2,0.0,23.7,81.8,0.0,24.5,82.0,0.0
925,7/1/2021 10:10,7/1/2021,10:10,27.4,30.6,0.0,27.2,31.8,0.0,27.2,30.0,0.0,27.5,32.3,0.0,27.1,30.7,0.0
3063,22/1/2021 6:30,22/1/2021,6:30,20.3,88.1,0.0,18.1,92.0,0.0,17.3,90.4,0.0,16.9,93.6,0.0,17.9,95.5,0.0
445,4/1/2021 2:10,4/1/2021,2:10,21.0,86.6,0.0,20.2,85.5,0.0,19.8,83.4,0.0,20.4,87.0,0.0,19.6,84.0,0.0
2816,20/1/2021 13:20,20/1/2021,13:20,32.2,32.7,0.0,31.8,34.4,0.0,30.9,33.1,0.0,30.9,32.1,0.0,31.2,33.0,0.0
10964,18/3/2021 3:20,18/3/2021,3:20,13.4,93.3,0.0,13.3,88.9,0.0,12.7,91.7,0.0,11.8,95.0,0.0,11.8,95.2,0.0
114,1/1/2021 19:00,1/1/2021,19:00,29.5,30.8,0.0,29.1,37.7,0.0,29.2,32.8,0.0,29.3,36.2,0.0,30.0,29.0,0.0
10963,18/3/2021 3:10,18/3/2021,3:10,13.5,93.8,0.0,13.4,89.2,0.0,12.8,91.9,0.0,11.9,95.3,0.0,11.8,95.4,0.0
2332,17/1/2021 4:40,17/1/2021,4:40,11.6,94.4,0.0,12.8,85.1,0.0,11.5,90.9,0.0,11.2,93.6,0.0,11.0,94.8,0.0
8514,1/3/2021 3:00,1/3/2021,3:00,20.1,93.4,0.0,20.3,92.0,0.0,19.6,94.6,0.0,20.2,96.7,0.0,20.5,95.3,0.0
6773,17/2/2021 0:50,17/2/2021,0:50,16.8,95.8,0.0,15.7,91.1,0.0,15.0,94.5,0.0,14.8,92.5,0.0,15.8,94.7,0.0
12302,27/3/2021 10:20,27/3/2021,10:20,15.4,80.5,0.0,16.7,73.9,0.0,15.2,80.8,0.0,16.0,75.8,0.0,16.3,75.9,0.0
8783,2/3/2021 23:50,2/3/2021,23:50,23.2,73.2,0.0,22.4,79.8,0.0,20.6,87.9,0.0,22.1,81.4,0.0,21.5,85.3,0.0
